,location,time,students
403,講堂,2020-12-18 09:30:00,0
404,講堂,2020-12-18 10:00:00,0
405,講堂,2020-12-18 10:30:00,0
406,講堂,2020-12-18 11:00:00,0
407,講堂,2020-12-18 11:30:00,1
408,講堂,2020-12-18 12:00:00,3
409,講堂,2020-12-18 12:30:00,0
410,講堂,2020-12-18 13:00:00,3
411,講堂,2020-12-18 13:30:00,0
412,講堂,2020-12-18 14:00:00,2
413,講堂,2020-12-18 14:30:00,2
414,講堂,2020-12-18 15:00:00,2
415,講堂,2020-12-18 15:30:00,2
416,講堂,2020-12-18 16:00:00,0
417,講堂,2020-12-18 16:30:00,0
418,講堂,2020-12-18 17:00:00,2
419,講堂,2020-12-18 17:30:00,0
420,講堂,2020-12-18 18:00:00,0
421,講堂,2020-12-18 18:30:00,3
422,講堂,2020-12-18 19:00:00,2
423,講堂,2020-12-18 19:30:00,2
424,講堂,2020-12-18 20:00:00,3
425,講堂,2020-12-18 20:30:00,2
426,講堂,2020-12-18 21:00:00,0
427,講堂,2020-12-18 21:30:00,2
428,講堂,2020-12-18 22:00:00,2
429,講堂,2020-12-18 22:30:00,1
430,講堂,2020-12-18 23:00:00,0
431,講堂,2020-12-18 23:30:00,2
432,大講義室,2020-12-18 00:00:00,0
433,大講義室,2020-12-18 00:30:00,0
434,大講義室,2020-12-18 01:00:00,0
435,大講義室,2020-12-18 01:30:00,0
436,大講義室,2020-12-18 02:00:00,0
437,大講義室,2020-12-18 02:30:00,0
438,大講義室,2020-12-18 03:00:00,0
439,大講義室,2020-12-18 03:30:00,0
440,大講義室,2020-12-18 04:00:00,0
441,大講義室,2020-12-18 04:30:00,0
442,大講義室,2020-12-18 05:00:00,0
443,大講義室,2020-12-18 05:30:00,0
444,大講義室,2020-12-18 06:00:00,0
445,大講義室,2020-12-18 06:30:00,0
446,大講義室,2020-12-18 07:00:00,0
447,大講義室,2020-12-18 07:30:00,0
448,大講義室,2020-12-18 08:00:00,0
449,大講義室,2020-12-18 08:30:00,0
450,大講義室,2020-12-18 09:00:00,0
451,大講義室,2020-12-18 09:30:00,2
452,大講義室,2020-12-18 10:00:00,2
453,大講義室,2020-12-18 10:30:00,2
454,大講義室,2020-12-18 11:00:00,3
455,大講義室,2020-12-18 11:30:00,0
456,大講義室,2020-12-18 12:00:00,1
457,大講義室,2020-12-18 12:30:00,2
458,大講義室,2020-12-18 13:00:00,1
459,大講義室,2020-12-18 13:30:00,94
460,大講義室,2020-12-18 14:00:00,91
461,大講義室,2020-12-18 14:30:00,92
462,大講義室,2020-12-18 15:00:00,1
463,大講義室,2020-12-18 15:30:00,2
464,大講義室,2020-12-18 16:00:00,3
465,大講義室,2020-12-18 16:30:00,0
466,大講義室,2020-12-18 17:00:00,3
467,大講義室,2020-12-18 17:30:00,2
468,大講義室,2020-12-18 18:00:00,1
469,大講義室,2020-12-18 18:30:00,1
470,大講義室,2020-12-18 19:00:00,0
471,大講義室,2020-12-18 19:30:00,3
472,大講義室,2020-12-18 20:00:00,2
473,大講義室,2020-12-18 20:30:00,0
474,大講義室,2020-12-18 21:00:00,3
475,大講義室,2020-12-18 21:30:00,1
476,大講義室,2020-12-18 22:00:00,0
477,大講義室,2020-12-18 22:30:00,0
478,大講義室,2020-12-18 23:00:00,0
479,大講義室,2020-12-18 23:30:00,0
